id;type_name;type_name_eng;scientific_name_eng
1;connecting;visualize;next generation hack
2;applications;firewall bifurcated transmitting;Sausages Credit Card Account
3;Investment Account Colorado;Awesome Cotton Keyboard;Montana
4;Liaison;cross-platform strategy;Steel United Kingdom indexing
5;Cambridgeshire deposit;payment;optical
6;hacking;back-end Fantastic;Consultant
7;Hong Kong Dollar wireless;Zimbabwe Key;Personal Loan Account Cambridgeshire
8;CFP Franc;XML;enterprise application
9;Games;interactive mobile Pants;Avon Small Cotton Car
10;feed Guinea Alabama;e-services;solution-oriented TCP
