id;breed_name;breed_name_eng
1;mindshare;Tasty Metal Table
2;yellow Auto Loan Account withdrawal;Operations architectures Savings Account
3;calculate Tunisian Dinar;Handcrafted Metal Ball Money Market Account
4;infomediaries hard drive;Unbranded
5;West Virginia panel Handcrafted Concrete Keyboard;artificial intelligence Home brand
6;Awesome California Indonesia;connecting
7;Up-sized withdrawal asymmetric;Computer
8;Grocery Handcrafted FTP;generate Computer
9;Kansas Quality;solution-oriented
10;Front-line;wireless Optimized Expanded
