id;title;date;batch_number;name_and_manufacturer;valid_util;type
1;Creative Dynamic;2020-05-30T05:30:22;application Venezuela;Reactive Functionality;2020-05-30T15:47:13;TREATMENT
2;Buckinghamshire Svalbard & Jan Mayen Islands;2020-05-29T20:03:43;bottom-line actuating Maryland;Granite Hills;2020-05-30T05:52:31;IMMUNIZATION
3;human-resource;2020-05-29T17:46:50;feed value-added Corner;portals copying;2020-05-30T08:01:39;TREATMENT
4;Ferry forecast;2020-05-30T15:19:58;Fantastic Plastic Chips maroon Electronics;Savings Account ADP;2020-05-29T21:55:32;TREATMENT
5;Fantastic Granite;2020-05-30T11:59:23;Savings Account Berkshire;Developer efficient;2020-05-30T11:44:02;TREATMENT
6;Credit Card Account cyan;2020-05-29T22:46:16;Cheese Handmade;Consultant Garden Uganda Shilling;2020-05-30T12:39:27;TREATMENT
7;archive;2020-05-30T07:59:10;multi-byte markets Investor;Keyboard Tunnel COM;2020-05-30T02:44:12;IMMUNIZATION
8;Delaware;2020-05-30T12:12:35;calculate;Drive Garden calculate;2020-05-29T20:40:05;IMMUNIZATION
9;Technician 24/365 Computers;2020-05-29T21:34:33;rich Sports Global;Money Market Account leverage conglomeration;2020-05-29T18:49:48;IMMUNIZATION
10;multi-byte Fresh;2020-05-30T08:12:10;Product;invoice;2020-05-30T05:58:57;TREATMENT
